Gross,Net,NettoGross,Av_Porosit,Sw,Av_Shc,Phih,SoPhi,SoPhih,Av_Permeab,LLx,LLy
83.858,33,0.394,0.087,0.527,0.473,2.87,0.04115,1.357983,0.347,1952994.96,13525225.82
32.045,25.5,0.796,0.085,0.359,0.641,2.17,0.05449,1.3893675,0.169,1967013.48,13568592.05
54.529,41.009,0.752,0.08,0.425,0.575,3.28,0.046,1.886414,0.136,1967007.68,13570055.41
64.795,50,0.772,0.072,0.483,0.517,3.6,0.03722,1.8612,0.075,1913051.072,13499120.79
22.486,13,0.578,0.098,0.619,0.381,1.27,0.03734,0.485394,0.577,1948392.04,13441883.64
9.863,7,0.71,0.154,0.513,0.487,1.08,0.075,0.524986,0.914,2036688.761,13605779.41
165.797,120.5,0.727,0.138,0.546,0.454,16.63,0.06265,7.549566,2.007,1947431.611,13553528.04
96.836,70.5,0.728,0.086,0.515,0.485,6.06,0.04171,2.940555,0.346,1975628.76,13488794.03
48.461,31,0.64,0.133,0.56,0.44,4.12,0.05852,1.81412,1.403,1983346.83,13495517.72
334.52,274.479,0.821,0.088,0.534,0.466,24.15,0.04101,11.25583483,0.299,1921330.4,13470636.66
33.928,30,0.884,0.17,0.358,0.642,5.1,0.10914,3.2742,8.705,1919978.023,13463928.98
491.99,153.299,0.312,0.09,0.365,0.635,13.8,0.05715,8.76103785,0.856,1974003.38,13438812.29
481.97,138.639,0.288,0.083,0.414,0.586,11.51,0.04864,6.743123682,0.171,1977255.79,13439528.61
139.034,83.614,0.601,0.084,0.586,0.414,7.02,0.03478,2.907760464,0.162,1976966.27,13557423.46
29.581,27.64,0.934,0.124,0.395,0.605,3.43,0.07502,2.0735528,1.562,1947569.62,13573915.21
394.8,204.46,0.518,0.081,0.613,0.387,16.56,0.03135,6.40920762,0.28,2132106.257,13600906.53
94.275,46.649,0.495,0.1,0.654,0.346,4.66,0.0346,1.6140554,0.415,1869015.01,13478698.14
52,23,0.442,0.106,0.587,0.413,2.44,0.04378,1.006894,0.521,1826568.477,13439116.21
36,8,0.222,0.077,0.545,0.455,0.62,0.03504,0.28028,0.106,1862008.1,13472085.79
24,22.501,0.938,0.163,0.445,0.555,3.67,0.09047,2.035552965,1.453,1754343.61,13412538.31
54,27,0.5,0.098,0.395,0.605,2.65,0.05929,1.60083,0.333,1800160.9,13414972.64
32,15.501,0.484,0.097,0.515,0.485,1.5,0.04705,0.729244545,0.676,1896651.04,13403769.28
21,18.501,0.881,0.181,0.502,0.498,3.35,0.09014,1.667643138,3.139,1778392.24,13424111.64
